Item Id,Cert Number,Stock Num,Shape,Carat,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales,Measurements,Ratio,Table,Depth,Key To Symbol,Cert Comments,BIC,BIS,WIS,WIC,OT,OC,OP,Crown Angle,Crown Height,Pav Angle,Pav Depth,Carat Range,Location,Broad Count,Turn,Overhang,Needs,Needs/Surplus,Grouped Needs
14900392,6511591607,41082-85,Round,2.03,D,IF,EX,EX,EX,None,GIA,None,None,33000,66990,-39,20130,40864,3,4,6,2,0,0,8.11 x 8.05 x 5.05,1.01,58,62.5,,Minor details of polish are not shown.,None,None,None,None,None,None,None,34.5,14.5,41.6,44,2.00-2.19,India,73,0.8,788.7,-1.5,,8
15276352,7516854912,41139-18,Round,2.02,D,VVS2,EX,EX,EX,Strong,GIA,None,None,23500,47470,-56,10340,20887,3,2,14,1,0,0,8.11 x 8.08 x 5.06,1,56,62.4,"pinpoint, cloud",Internal graining is not shown.,None,None,None,Light,None,N/A,None,34,14.5,41.4,44,2.00-2.19,India,212,4.1,41.5,2,needs,8
14812726,2514521929,41099-24,Round,2,D,VS1,EX,EX,EX,None,GIA,None,None,20500,41000,-41,12095,24190,53,1,9,3,2,2,8.03 x 7.97 x 5.06,1.01,57,63.2,"crystal, indented_natural, cloud, pinpoint, natural, extra_facet",Additional clouds are not shown. Additional pinpoints are not shown.,None,None,Light,Light,None,None,None,36.5,16,41.2,43.5,2.00-2.19,India,202,2,271.9,-1,,12.5
14767817,2514465041,41082-27,Round,2.01,D,VS1,EX,EX,EX,None,GIA,None,None,20500,41205,-38,12710,25548,60,5,9,3,2,2,8.03 x 7.99 x 5.00,1.01,57,62.4,"crystal, feather, needle, pinpoint",Clouds are not shown.,Light,None,Light,Light,None,None,None,36,15.5,40.6,43,2.00-2.19,India,202,2,271.9,-1,,12.5
14812721,2517542127,41082-64,Round,2.02,D,VS2,EX,EX,EX,None,GIA,None,None,17500,35350,-42,10150,20504,53,5,16,1,2,3,8.17 x 8.13 x 4.92,1,59,60.4,"crystal, feather, needle",Pinpoints are not shown. Clouds are not shown.,Light,None,None,Light,V Light,None,None,33.5,13.5,40.8,43,2.00-2.19,India,333,3.2,55.2,2.5,needs,12.5
14812727,6515542121,41101-11,Round,2.01,E,VVS2,EX,EX,EX,None,GIA,None,None,21000,42210,-38,13020,26170,53,5,8,2,0,1,8.16 x 8.12 x 5.00,1,59,61.4,"needle, pinpoint",Additional pinpoints are not shown. Internal graining is not shown.,None,V Light,V Light,V Light,None,None,None,33,13.5,41.6,44.5,2.00-2.19,India,247,3.2,119.1,0.5,,8
14732420,6512392233,41052-29,Round,2.01,E,VS1,EX,EX,EX,None,GIA,None,None,19000,38190,-41,11210,22533,67,10,17,2,2,4,8.05 x 8.02 x 5.00,1,58,62.3,"feather, cloud, needle, pinpoint",Additional pinpoints are not shown.,V Light,None,Light,Light,None,None,None,36,15.5,40.6,42.5,2.00-2.19,India,388,2.5,119.3,1.5,needs,12.5
14608410,2514335347,41052-5,Round,2.06,E,VS1,EX,EX,EX,None,GIA,None,None,19000,39140,-42,11020,22702,84,11,17,2,2,4,8.11 x 8.15 x 5.06,1,59,62.2,"crystal, feather, needle, pinpoint",Additional pinpoints are not shown.,Light,None,Light,V Light,None,None,None,35,14.5,41.4,44,2.00-2.19,India,388,2.5,119.3,1.5,needs,12.5
14608402,2518324797,41052-3,Round,2.09,E,VS2,EX,EX,EX,None,GIA,None,None,16000,33440,-42,9280,19396,84,7,13,1,1,1,8.16 x 8.14 x 5.06,1,59,62.1,"cloud, feather, crystal, needle","Additional clouds, pinpoints and internal graining are not shown.",Light,None,Light,Light,None,None,None,35.5,15,41,43.5,2.00-2.19,India,660,2.6,49.5,3,needs,12.5
15084601,1513752047,41102-28,Round,2.18,F,VVS1,EX,EX,EX,None,GIA,None,None,22000,47960,-36,14080,30695,25,10,12,1,1,1,8.31 x 8.25 x 5.13,1.01,56,61.9,pinpoint,Additional pinpoints are not shown. Internal graining is not shown.,None,None,V Light,V Light,None,None,None,35,15.5,40.6,42.5,2.00-2.19,India,221,2,184.2,0,,8
14608411,7516366386,41045-30,Round,2.09,F,VVS2,EX,EX,EX,None,GIA,None,None,19500,40755,-39,11895,24861,84,10,14,1,3,4,8.19 x 8.15 x 5.08,1,59,62.2,"needle, pinpoint, cloud",-,V Light,None,V Light,Light,None,None,None,35,14.5,41.2,43.5,2.00-2.19,India,360,4,65.5,2.5,needs,8
14900280,6515615953,41119-21,Round,2.01,G,VS1,EX,EX,EX,Faint,GIA,Other,None,15000,30150,-48,7800,15678,40,1,11,1,1,1,8.03 x 7.99 x 5.02,1.01,57,62.7,"cloud, feather, needle, indented_natural, natural","Additional clouds, pinpoints and surface graining are not shown.",None,V Light,Light,Light,None,None,None,36,15.5,40.6,43,2.00-2.19,India,1000,3.4,30.1,4.5,needs,6.5
14767732,1515478579,41079-11,Round,2.05,G,VS2,EX,EX,EX,None,GIA,None,None,13500,27675,-40,8100,16606,60,7,17,2,0,0,8.15 x 8.12 x 5.02,1,56,61.8,"crystal, cloud, feather, needle",Additional clouds are not shown. Pinpoints are not shown.,Light,Light,Light,Light,None,None,None,35,15.5,40.6,43,2.00-2.19,India,1250,5.9,92.8,2,needs,6.5
14767730,5516465065,41079-7,Round,2.01,G,VS2,EX,EX,EX,None,GIA,None,None,13500,27135,-39,8235,16552,60,7,17,2,0,0,7.98 x 8.03 x 5.01,0.99,57,62.5,"feather, crystal, pinpoint",,Light,None,Light,Light,None,Light,None,36,15.5,40.6,42.5,2.00-2.19,India,1250,5.9,92.8,2,needs,6.5
