Category,Item Id,Cert Number,Stock Num,Shape,Carat,Carat Range,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales
Round | 1.70 - 1.99 | D | VVS1,12132384,6481685508,31044-58,Round,1.7,1.70 - 1.99,D,VVS1,EX,EX,EX,None,GIA,None,None,18700,31790,-42,10846,18439,428,2,11,1,2,2
Round | 1.50 - 1.69 | D | VVS1,14767734,7512478720,41082-28,Round,1.61,1.50 - 1.69,D,VVS1,EX,EX,EX,None,GIA,None,None,18700,30107,-40,11220,18064,62,14,22,1,2,2
Round | 1.70 - 1.99 | D | IF,12565099,1498154866,31084-41,Round,1.7,1.70 - 1.99,D,IF,EX,EX,EX,Faint,GIA,None,None,21000,35700,-53,9870,16779,373,1,4,1,0,0
Round | 2.00 - 2.19 | G | VS2,14767732,1515478579,41079-11,Round,2.05,2.00 - 2.19,G,VS2,EX,EX,EX,None,GIA,None,None,13500,27675,-40,8100,16606,62,7,18,1,1,1
Round | 2.00 - 2.19 | G | VS2,14767730,5516465065,41079-7,Round,2.01,2.00 - 2.19,G,VS2,EX,EX,EX,None,GIA,None,None,13500,27135,-39,8235,16552,61,7,17,2,0,0
Round | 1.70 - 1.99 | E | VVS2,14812715,6515562264,41101-17,Round,1.7,1.70 - 1.99,E,VVS2,EX,EX,EX,None,GIA,None,None,14300,24310,-33,9581,16288,55,2,3,1,0,0
Round | 1.50 - 1.69 | E | VVS1,14900282,5513626080,41102-21,Round,1.5,1.50 - 1.69,E,VVS1,EX,EX,EX,None,GIA,None,None,17300,25950,-39,10554,15831,42,14,31,1,3,3
Round | 2.00 - 2.19 | G | VS1,14900280,6515615953,41119-21,Round,2.01,2.00 - 2.19,G,VS1,EX,EX,EX,Faint,GIA,Mix Tinge,None,15000,30150,-48,7800,15678,42,1,14,1,1,1
Round | 1.50 - 1.69 | F | VVS1,14900279,6512611583,41099-60,Round,1.62,1.50 - 1.69,F,VVS1,EX,EX,EX,None,GIA,None,None,15300,24786,-37,9639,15616,42,22,25,1,1,1
Round | 1.50 - 1.69 | D | VVS2,14767726,6512478863,41082-32,Round,1.61,1.50 - 1.69,D,VVS2,EX,EX,EX,None,GIA,None,None,15400,24794,-40,9240,14876,62,17,18,2,0,2
Round | 1.70 - 1.99 | E | VS1,14900276,6233523875,41037-237,Round,1.76,1.70 - 1.99,E,VS1,EX,EX,EX,None,GIA,None,None,12200,21472,-32,8297,14602,42,4,7,2,1,1
Round | 1.70 - 1.99 | F | VS1,14732283,6512433793,41053-76,Round,1.76,1.70 - 1.99,F,VS1,EX,EX,EX,None,GIA,None,None,11400,20064,-30,7980,14046,69,5,6,1,0,1
Round | 1.70 - 1.99 | F | VS1,14767721,2517484812,41101-1,Round,1.8,1.70 - 1.99,F,VS1,EX,EX,EX,Medium,GIA,None,None,11400,20520,-38,7068,12723,62,1,9,1,0,0
Round | 1.70 - 1.99 | F | VS2,15276353,2517857101,41137-204,Round,1.7,1.70 - 1.99,F,VS2,EX,EX,EX,None,GIA,None,None,10300,17510,-30,7210,12257,4,9,12,1,1,2
Round | 1.50 - 1.69 | D | VS1,14459534,6511155134,41025-26,Round,1.5,1.50 - 1.69,D,VS1,EX,EX,EX,None,GIA,None,None,13400,20100,-41,7906,11859,113,5,13,1,1,1
Round | 1.70 - 1.99 | E | VS2,14732271,7516384263,41052-13,Round,1.7,1.70 - 1.99,E,VS2,EX,EX,EX,None,GIA,None,None,11000,18700,-37,6930,11781,69,2,8,3,1,1
Round | 1.50 - 1.69 | D | VVS2,14968399,7511583300,41104-16,Round,1.66,1.50 - 1.69,D,VVS2,EX,EX,EX,Medium,GIA,None,None,15400,25564,-54,7084,11759,34,7,29,2,0,2
